"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"MYRTACEAE","Acmena","Broad-leaved","Australian",6,4,8,13,9,"Round","<1.5m","Bush","25-50","Moderate","Dense","No","Moderate","Full","Yes-Pruned","Moderate","High","High","Moderate","Moderate","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Acmena","Lillypilly","Local",10,6,17,28,40,"Round","1.5-3m","Bush","25-50","Moderate","Dense","No","High","Full","No","Low","Moderate","Moderate","High","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Acmena","Lillypilly","Australian",6,4,8,13,9,"Oval,Round","<1.5m","Bush","25-50","Fast","Dense","No","Low","Full","Yes-Pruned","Moderate","High","Moderate","Moderate","M","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,","Low","Yes"
"MYRTACEAE","Acmena","Dwarf","Local",4,3,4,7,4,"Oval,Round","<1.5m","Bush","25-50","Moderate","Dense","No","Moderate","Full","Yes-Under","Low","Moderate","Moderate","High","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"FABACEAE","Acrocarpus","Pink","Exotic",20,10,47,78,220,"Round,Spreading",">5m","Lateral",">50","Fast","Low","Yes","Moderate","Full","No","Moderate","Low","Moderate","High","Moderate,Well","Sand,Loam","Major","Parks","Foliage","Low","No"
"RUTACEAE","Acronychia","White","Trial",8,4,8,13,26,"Conical/Pyrimidal,Oval","1.5-3m","Bush","25-50","Slow","Dense","No","Moderate","Full","Yes-Pruned","Low","Low","Moderate","Moderate","Moderate","Sand,Loam","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"SAPINDACEAE","Aesculus","Indian","Exotic",12,10,47,78,79,"Broad-domed,Spreading","<1.5m","Lateral",">50","Moderate","Dense","Semi","Moderate","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers,Foliage","Low","Yes"
"ARUACARIACEAE","Agathis","Kauri","Australian",25,10,47,79,344,"Columnar",">5m","Vertical/Upright,Umbrella-shaped",">50","Slow","Dense","No","Low","Full","No","High","High","High","Moderate","Moderate","Sand,Loam","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"FABACEAE","Albizia","Mimosa,Silk","Exotic",12,10,47,78,79,"Vase,Spreading","1.5-3m","Lateral","25-50","Fast","Low","Yes","High","Full","No","High","Low","High","Low","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"SAPINDACEAE","Alectryon","Native","Trial",8,6,17,28,26,"Broad-domed,Round","1.5-3m","Lateral","25-50","Moderate","Medium","No","Low","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage,Attracts","Low","No"
"SAPINDACEAE","Alectryon","Woolly","Australian",8,5,12,20,16,"Round","1.5-3m","Lateral","25-50","Moderate","Medium","No","Low","Full","No","High","High","High","Moderate","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Attracts","Low","Yes"
"CASUARINACEAE","Allocasuarina","Black","Local",15,8,30,50,38,"Oval,Round","1.5-3m","Vertical/Upright,",">50","Moderate","Medium","No","Moderate","Full","No","High","High","High","Low","Well","Sand,Loam,Clay","Moderate","Residential,Parks","Attracts","Low","Yes"
"CASUARINACEAE","Allocasuarina","Forest","Local",12,6,17,28,58,"Oval,Pendulous","1.5-3m","Lateral","25-50","Fast","Low","No","Moderate","Full","No","High","Moderate","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Foliage,Attracts","Low","Yes"
"CASUARINACEAE","Allocasuarina","Drooping","Local",10,6,17,28,40,"Oval,Pendulous","1.5-3m","Lateral","25-50","Fast","Medium","No","Moderate","Full","No","High","Moderate","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Foliage,Attracts","Low","Yes"
"RHAMNACEAE","Alphitonia","Red","Trial",12,6,17,28,58,"Oval,Round","1.5-3m","Lateral","25-50","Moderate","Medium","No","Low","Full","No","High","Moderate","High","Low","Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","No"
"MYRTACEAE","Angophora","Smooth-barked","Local",18,12,68,113,180,"Round,Spreading",">5m","Lateral",">50","Fast","Low","No","Moderate","Full","No","High","Moderate","Moderate","Low","Well","Sand","Moderate","Parks","Flowers,Attracts","Low","Yes"
"ARUACARIACEAE","Araucaria","Cook","Australian",20,8,30,50,160,"Columnar","3-5m","Low",">50","Moderate","Medium","No","Low","Full","No","High","High","High","Low","Moderate,Well","Sand,Loam","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"ARUACARIACEAE","Araucaria","Norfolk","Australian",30,10,47,78,495,"Columnar",">5m","Vertical/Upright",">50","Moderate","Medium","No","Low","Full","No","High","High","High","Low","Moderate,Well","Sand,Loam","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"ARUACARIACEAE","Araucaria","Norfolk","Australian",25,10,47,78,325,"Conical",">5m","Vertical/Upright",">50","Moderate","Medium","No","Low","Full","No","Low","High","High","Moderate","Moderate,Well","Sand,Loam","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"ARECACEAE","Archontopheonix","Bangalow","Australian",25,9,10,17,75,"Palm",">5m","Umbrella-shaped,Vertical/Upright","25-50years","Moderate","Low","No","Moderate","Full","No","Low","High","Moderate","High","Moderate","Sand,Loam","Moderate","Residential,","Foliage","Mod","Yes"
"ERICACEAE","Arbutus","Mexican","Exotic",8,6,17,28,26,"Broad-domed,Round","1.5-3m","Bush",">50","Slow","Dense","No","Moderate","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Bark/Trunk,Attracts","Low","Yes"
"PITTOSPORACEAE","Auranticarpa","Hollywood","Australian",8,4,8,13,26,"Oval","1.5-3m","Bush","25-50","Fast","Medium","No","Moderate","Full","No","Moderate","Moderate","Low","Moderate","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MYRTACEAE","Backhousia","Lemon-scented","Australian",8,5,20,33,16,"Round","<1.5m","Bush","25-50","Moderate","Dense","No","Low","Full","Yes-Pruned","Low","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Backhousia","Ironwood","Trial",8,6,17,28,26,"Round","<1.5m","Bush",">50","Moderate","Medium","No","Low","Full","No","Low","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","Low","No"
"EUPHORBIACEAE","Baloghia","Brush","Trial",6,4,8,13,14,"Oval","<1.5m","Bush",">50","Slow","Dense","No","Low","Part-shade,Shade","No","Low","Low","Low","High","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"PROTEACEAE","Banksia","Coastal","Local",10,6,17,28,40,"Round","1.5-3m","Bush","25-50","Fast","Medium","No","High","Full","Yes-Pruned","High","High","High","Low","Well","Sand","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"CAESALPINIACEAE","Barklya","Golden","Australian",10,6,17,28,40,"Oval,Pendulous","<1.5m","Bush","25-50","Moderate","Medium","No","Low","Part-shade","No","Low","Low","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"FABACEAE","Bauhinia","White","Exotic",12,8,30,50,58,"Broad-domed,Round","1.5-3m","Lateral",">50","Fast","Medium","Semi","Moderate","Full","No","Moderate","Low","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","High","Yes"
"FABACEAE","Bauhinia","Hong","Exotic",10,6,17,28,40,"Broad-domed,Spreading","1.5-3m","Lateral",">50","Moderate","Medium","Semi","Low","Full","No","Moderate","Low","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","High","Yes"
"BETULACEAE","Betula","Tropical","Exotic",10,6,17,28,40,"Conical/Pyrimidal","1.5-3m","Multi-trunked,Vertical/Upright",">50","Moderate","Dense","Yes","Moderate","Full","No","Low","High","Moderate","High","Poor,Moderate","Sand,Loam,Clay","Major","Parks,Wet","Foliage,Bark/Trunk","Low","Yes"
"FABACEAE","Bolusanthus","Tree","Exotic",10,6,17,28,40,"Broad-domed,Pendulous,Round","1.5m-3m","Bush",">50","Moderate","Medium","Semi","Low","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Minor","Parks","Flowers,Foliage,Attracts","Low","Yes"
"MALVACEAE","Brachychiton","Illawarra","Local",12,6,17,28,58,"Conical/Pyrimidal,Round","1.5-3m","Low",">50","Moderate","Medium","Semi","Low","Full","No","Moderate","Low","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MALVACEAE","Brachychiton","Lacebark","Australian",20,10,47,78,220,"Oval,Round","1.5-3m","Lateral",">50","Moderate","Medium","No","Low","Full","No","High","Moderate","Low","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MALVACEAE","Brachychiton","Kurrajong","Local",12,8,30,50,58,"Broad-domed","1.5-3m","Lateral",">50","Slow","Medium","No","Moderate","Full","No","High","High","Low","Low","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"MALVACEAE","Brachychiton","Kurrajong","Australian",8,4,8,13,26,"Oval","<1.5m","Lateral","25-50years","Moderate","Medium","Semi","Moderate","Full","No","High","Moderate","Low","Low","Moderate","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers","Low","Yes"
"MAlVACEAE","Brachychiton","Kurrajong","Australian",8,7,23,38,28,"Broad-domed","<1.5m","Lateral","25-50years","Moderate","Medium","Semi","Moderate","Full","No","High","Moderate","Low","Low","Moderate","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers","Low","Yes"
"MALVACEAE","Brachychiton","Queensland","Australian",12,6,17,28,58,"Round","1.5-3m","Lateral",">50","Slow","Medium","No","Moderate","Full","No","High","High","Moderate","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Foliage,Bark/Trunk","Low","Yes"
"PHYLLANTHACEAE","Bridelia","Brush","Australian",8,4,8,13,26,"Oval,Round","<1.5m","Bush",">50","Moderate","Dense","No","Low","Part-shade","No","Low","Low","Low","Moderate","Moderate,Well-drained","Sand,Loam,Clay","Minor","Parks","Foliage,Attracts","Low","Yes"
"PROTEACEAE","Buckinghamia","Ivory","Australian",7,4,15,25,20,"Round","<1.5m","Bush","25-50","Fast","Dense","No","Low","Full","Yes-Pruned","Moderate","Low","Low","Moderate","Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",2,2,2,3,2,"Round","<1.5m","Bush","<25years","Slow","Low","No","Low","Full","Yes","High","High","High","Low","Poor,Moderate","Sand,Loam,Clay","Moderate","Parks,","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",5,4,8,13,20,"Round","1.5-3m","Bush","25-50years","Moderate","Low","No","Low","Full","Yes-Pruned","High","High","High","Moderate","Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",4,4,8,13,12,"Round","<1.5m","Bush","25-50years","Moderate","Low","No","Low","Full","Yes-Pruned","High","High","High","Moderate","Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",3,3,4,7,3,"Round","<1.5m","Bush","25-50years","Moderate","Low","No","Low","Full","Yes","High","High","High","Low","Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",5,4,15,25,10,"Pendulous,Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","High","Moderate","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","No"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",5,3,4,7,6,"Oval","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","High","Moderate","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Willow","Local",8,4,15,25,26,"Round","1.5-3m","Bush","25-50","Fast","Medium","No","Low","Full","No","High","High","Moderate","Low","Poor,Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",2,2,2,3,1,"Round","<1.5m","Bush","<25","Fast","Low","No","Low","Full","Yes-Pruned","High","High","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,","Flowers","Low","Yes"
"MYRTACEAE","Callistemon","Dawson","Australian",5,4,8,13,18,"Broad-domed,","1.5-3m","Weeping","25-50","Moderate","Medium","No","Low","Full","No","Moderate","Moderate","High","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,","Flowers,","Low","Yes"
"MYRTACEAE","Callistemon","Bottlebrush","Australian",4,2,2,3,8,"Oval,","<1.5m","Bush","<25","Fast","Low","No","Low","Full","No","High","High","High","Low","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Residential,","Flowers","Low","Yes"
"RUTACEAE","Calodendrum","Cape","Exotic",10,6,17,28,32,"Broad-domed","1.5-3m","Lateral",">50","Slow","Dense","No","Low","Full","No","Low","Moderate","Low","Moderate","Moderate,Well","Sand,Loam","Major","Parks","Flowers,Attracts","Low","Yes"
"JUGLANDACEAE","Carya","Pecan","Exotic",20,12,68,113,220,"Broad-domed,Spreading",">5m","Lateral",">50","Fast","Medium","Yes","Low","Full","No","Low","Moderate","Low","High","Poor,Moderate","Sand,Loam","Major","Parks,Wet","Foliage,Bark/Trunk,Edible","Low","Yes"
"FABACEAE","Cassia","Leichardt","Australian",12,8,30,50,58,"Round,Spreading","1.5-3m","Lateral",">50","Fast","Medium","Yes","High","Full","No","High","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","High","Yes"
"FABACEAE","Cassia","Golden","Exotic",12,8,30,50,58,"Pendulous,Round","1.5-3m","Lateral",">50","Fast","Low","Yes","High","Full","No","High","High","High","Low","Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Foliage","High","Yes"
"FABACEAE","Cassia","Java","Exotic",10,10,47,78,55,"Broad-domed,Spreading","3-5m","Lateral","25-50","Fast","Medium","Semi","High","Full","No","High","Moderate","Low","Moderate","Moderate,Well","Sand,Loam","Moderate","Parks","Flowers,Foliage,Attracts","High","Yes"
"FABACEAE","Castanospermum","Moreton","Australian",20,10,47,78,220,"Oval,Round","3-5m","Lateral",">50","Slow","Dense","Semi","Moderate","Full","No","Moderate","High","Low","Moderate","Well","Sand,Loam,Clay","Major","Parks","Flowers,Attracts","Low","No"
"CASUARINACEAE","Casuarina","River","Australian",25,15,34,56,250,"Oval","3-5m","Lateral",">50","Fast","Dense","No","High","Full","No","Moderate","Moderate","Moderate","High","Poor,Moderate,Well","Sand,Loam,Clay","Moderate","Parks,","Habit,","Low","Yes"
"CASUARINACEAE","Casuarina","Swamp","Local",20,10,47,76,170,"Oval","3-5m","Lateral",">50","Fast","Medium","No","High","Full","No","High","High","High","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks,","Hardy","Low","Yes"
"BIGNONIACEAE","Catalpa","Indian","Exotic",15,12,68,113,120,"Broad-domed,Spreading","1.5-3m","Lateral","25-50","Moderate","Medium","Yes","Moderate","Full","No","High","Moderate","Low","Low","Moderate,Well","Sand,Loam,Clay","Moderate","Parks","Flowers,Attracts","Low","Yes"
"BIGNONIACEAE","Catalpa","Indian","Exotic",3,3,4,7,2,"Round","1.5-3m","Lateral","<25","Slow","Low","Yes","Moderate","Full","Yes-Under","High","Low","Low","Low","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage","Low","Yes"
"CANNABACEAE","Celtis","Native","Trial",10,6,17,28,40,"Round","1.5-3m","Lateral",">50","Fast","Medium","No","Moderate","Full","No","High","High","High","Low","Well","Sand,Loam","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"FABACEAE","Ceratonia","Carob","Exotic",10,10,47,78,55,"Broad-domed","1.5-3m","Bush",">50","Moderate","Dense","No","Moderate","Full","No","High","Moderate","High","Low","Moderate,Well","Sand,Loam,Clay","Major","Residential,Parks","Foliage,Bark/Trunk,Edible","Low","Yes"
"CUNONIACEAE","Ceratopetalum","Coachwood","Trial",8,4,8,13,26,"Oval","<1.5m","Bush",">50","Slow","Low","No","Low","Full","No","Low","Moderate","Low","High","Poor,Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers","Low","No"
"CUNONIACEAE","Ceratopetalum","NSW","Local",6,3,4,7,9,"Oval","<1.5m","Bush",">50","Moderate","Low","No","Low","Full","Yes-Pruned","Moderate","Low","Low","Moderate","Poor,Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","Low","No"
"FABACEAE","Cercis","Judas","Exotic",8,6,17,28,26,"Round,Spreading","<1.5m","Bush",">50","Moderate","Medium","Yes","Moderate","Full","Yes-Pruned","Moderate","Low","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"SAPOTACEAE","Chrysophyllum","Satin","Exotic",12,6,17,28,58,"Oval,Vase","1.5-3m","Bush",">50","Slow","Dense","No","Moderate","Full","No","Moderate","Moderate","High","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage","High","No"
"LAURACEAE","Cinnamomum","Oliver's","Trial",15,6,17,28,90,"Oval","3-5m","Low",">50","Moderate","Medium","No","Low","Full","No","Low","Moderate","Low","High","Moderate","Loam","Minor","Parks","Foliage,Attracts","Low","No"
"VERBENACEAE","Citharexylum","Fiddle","Exotic",12,8,30,50,58,"Round","1.5-3m","Bush",">50","Fast","Dense","Semi","High","Full","No","Moderate","Low","Moderate","Moderate","Poor,Moderate,Well","Sand,Loam,Clay","Minor","Parks","Flowers,Foliage,Edible","High","No"
"CLETHRACEAE","Clethra","Lilly","Exotic",7,4,15,25,12,"Round","<1.5m","Bush","<25","Fast","Medium","No","Low","Part-shade,Shade","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"COMBRETACEAE","Conocarpus","Buttonwood","Exotic",8,6,17,28,26,"Round,Vase","1.5-3m","Bush","25-50","Moderate","Medium","No","Moderate","Full","Yes-Pruned","High","High","High","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage,Bark/Trunk","Low","No"
"BORAGINACEAE","Cordia","Geiger","Exotic",6,4,8,13,9,"Round,Vase","<1.5m","Bush","25-50","Slow","Medium","No","Moderate","Full","Yes-Pruned","High","High","High","Moderate","Well","Sand,Loam","Minor","Residential,Parks","Flowers,Foliage","Low","No"
"MYRTACEAE","Corymbia","Lemon-scented","Australian",20,10,47,78,220,"Round,Spreading",">5m","Lateral",">50","Moderate","Low","No","Moderate","Full","No","High","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers,Attracts","High","Yes"
"MYRTACEAE","Corymbia","Dwarf","Australian",7,4,8,13,14,"Round,Spreading","1.5-3m","Vertical/Upright,","25-50","Moderate","Moderate","No","Moderate","Full","No","High","Moderate","Moderate","Moderate","Moderate","Sand,Loam,Clay","Moderate","Residential","Bark,","Low","Yes"
"MYRTACEAE","Corymbia","Yellow","Australian",20,7,23,39,60,"Round,Spreading","1.5-3m","Vertical/Upright,",">50","Fast","Moderate","No","Moderate","Full","No","High","Moderate","Moderate","Low","Moderate","Sand,Loam,Clay","Moderate","Residential","Bark,","Low","Yes"
"MYRTACEAE","Corymbia","Dwarf","Australian",6,4,8,13,11,"Round,Spreading","1.5-3m","Round","<25","Slow","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","Moderate","Sand,Loam,Clay","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",4,3,4,7,6,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",3,3,4,7,6,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",6,4,8,13,11,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",6,4,8,13,11,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",6,4,8,13,11,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",6,3,4,7,9,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","WA","Australian",6,4,8,13,11,"Round,Spreading","1.5-3m","Lateral","25-50","Moderate","Medium","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","Moderate,Well","Sand,Loam","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Corymbia","Flowering","Australian",6,4,8,13,11,"Round","<1.5m","Bush","<25","Moderate","Low","No","Low","Full","Yes-Pruned","High","Moderate","Moderate","Low","High","Sand,Loam","Minor","Residential","Flowers","Low","Yes"
"MYRTACEAE","Corymbia","Red","Australian",25,10,47,79,113,"Oval","3-5m","Vertical/Upright,",">50","Fast","Moderate","No","Moderate","Full","Yes-Pruned","High","Moderate","Moderate","Moderate","Moderate","Sand,Loam,Clay","Moderate","Residential,Parks","Bark","Low","Yes"
"MYRTACEAE","Corymbia","Spotted","Australian",25,8,30,50,250,"Round,Spreading",">5m","Lateral",">50","Moderate","Low","No","Moderate","Full","No","High","High","Moderate","Low","Moderate,Well","Sand,Loam,Clay","Major","Park","Flowers,Attracts","Low","Yes"
"LAURACEAE","Cryptocarya","Jackwood","Trial",20,10,47,78,220,"Oval,",">5m","Low",">50","Slow","Dense","No","Moderate","Full","No","Moderate","Moderate","Low","High","Poor,Moderate,Well","Sand,Loam,Clay","Major","Parks","Foliage,Attracts","Low","No"
